name;a;b;date
Matalebreras;1124;2563;2020-08-01
Burgo de Osma-Ciudad de Osma;4059;48701;2020-08-01
Barca;68;3185;2020-08-01
Blacos;1083;1327;2020-08-01
San Felices;1775;1775;2020-08-01
Rello;1311;1819;2020-08-01
Herrera de Soria;1087;1087;2020-08-01
Santa Cruz de Yanguas;3071;3071;2020-08-01
La Póveda de Soria;2779;2844;2020-08-01
Cidones;2636;13040;2020-08-01
Cubilla;0;1031;2020-08-01
Arenillas;1560;1560;2020-08-01
Adradas;4020;4020;2020-08-01
Cerbón;1518;1518;2020-08-01
Fuentestrún;1929;1929;2020-08-01
Beratón;2299;2299;2020-08-01
Los Villares de Soria;0;2783;2020-08-01
Valdeavellano de Tera;2356;4007;2020-08-01
Pinilla del Campo;988;988;2020-08-01
Portillo de Soria;339;339;2020-08-01
Buberos;901;901;2020-08-01
Renieblas;3631;3631;2020-08-01
Sotillo del Rincón;2964;4812;2020-08-01
Velilla de la Sierra;288;598;2020-08-01
Frechilla de Almazán;1857;1857;2020-08-01
Castilruiz;3126;4752;2020-08-01
Taroda;2533;2533;2020-08-01
Nafría de Ucero;1642;2786;2020-08-01
Alentisque;1243;1243;2020-08-01
San Esteban de Gormaz;1774;39312;2020-08-01
Santa María de las Hoyas;169;3932;2020-08-01
Carabantes;861;861;2020-08-01
Yelo;2029;2029;2020-08-01
Cubo de la Solana;2862;6229;2020-08-01
Fuentearmegil;444;6169;2020-08-01
Narros;1770;1770;2020-08-01
Calatañazor;816;1527;2020-08-01
Deza;5085;5830;2020-08-01
Espejón;0;2007;2020-08-01
Miño de Medinaceli;2170;2548;2020-08-01
Fresno de Caracena;972;972;2020-08-01
Hinojosa del Campo;2399;2399;2020-08-01
Trévago;1961;1961;2020-08-01
Bayubas de Abajo;553;2606;2020-08-01
Velilla de los Ajos;641;641;2020-08-01
Arcos de Jalón;19501;28812;2020-08-01
Santa María de Huerta;469;5072;2020-08-01
Baraona;5900;6250;2020-08-01
Villaseca de Arciel;615;615;2020-08-01
Candilichera;1998;2158;2020-08-01
Serón de Nágima;1058;5290;2020-08-01
Casarejos;506;3370;2020-08-01
Valdelagua del Cerro;566;566;2020-08-01
Valtajeros;1051;1084;2020-08-01
Tajahuerce;1232;1232;2020-08-01
Alconaba;1829;5784;2020-08-01
Dévanos;1593;1593;2020-08-01
Aliud;948;948;2020-08-01
Ágreda;10280;19310;2020-08-01
Villasayas;1917;2523;2020-08-01
Villanueva de Gormaz;1452;1452;2020-08-01
Tajueco;1614;1614;2020-08-01
Almazán;2254;31294;2020-08-01
Fuentecambrón;1112;1112;2020-08-01
Noviercas;1354;7720;2020-08-01
Cueva de Ágreda;0;1046;2020-08-01
Monteagudo de las Vicarías;2441;4790;2020-08-01
Rollamienta;1225;1225;2020-08-01
Vozmediano;1703;1997;2020-08-01
Bliecos;1052;1052;2020-08-01
El Royo;4461;7416;2020-08-01
Aldealseñor;1566;1566;2020-08-01
Los Rábanos;8769;12212;2020-08-01
Vadillo;0;1920;2020-08-01
Aldealpozo;1072;1072;2020-08-01
Liceras;1837;1837;2020-08-01
Quintanas de Gormáz;0;2327;2020-08-01
Navaleno;1309;9553;2020-08-01
Fuentelmonge;1207;1207;2020-08-01
Cañamaque;1772;1772;2020-08-01
Yanguas;1043;2970;2020-08-01
Muriel Viejo;359;1160;2020-08-01
Covaleda;2288;12775;2020-08-01
Valdeprado;655;655;2020-08-01
Medinaceli;1703;15308;2020-08-01
Alcubilla de Avellaneda;0;2416;2020-08-01
La Losilla;104;711;2020-08-01
Torreblacos;1519;1519;2020-08-01
Almajano;1448;2796;2020-08-01
Vinuesa;2908;10444;2020-08-01
Ucero;0;2362;2020-08-01
Vizmanos;697;697;2020-08-01
Velamazán;1177;4285;2020-08-01
Soria;7325;100913;2020-08-01
Caracena;689;689;2020-08-01
Carrascosa de Abajo;522;522;2020-08-01
Viana de Duero;2143;2143;2020-08-01
Montenegro de Cameros;1822;1822;2020-08-01
Pozalmuro;2873;2873;2020-08-01
Escobosa de Almazán;691;691;2020-08-01
Almarza;1786;15181;2020-08-01
Arancón;1845;3126;2020-08-01
Castilfrío de la Sierra;1231;1231;2020-08-01
Golmayo;5817;26770;2020-08-01
Garray;0;15573;2020-08-01
Estepa de San Juan;453;453;2020-08-01
Miño de San Esteban;0;1749;2020-08-01
Almenar de Soria;5960;7766;2020-08-01
Abejar;2949;6789;2020-08-01
Coscurita;2324;3023;2020-08-01
Fuentepinilla;3079;3079;2020-08-01
Gómara;1916;4711;2020-08-01
Oncala;1995;1995;2020-08-01
Arévalo de la Sierra;921;3711;2020-08-01
San Pedro Manrique;2087;10259;2020-08-01
Aldealices;1122;1122;2020-08-01
Magaña;2383;3677;2020-08-01
Morón de Almazán;220;4363;2020-08-01
Valdenebro;3486;3585;2020-08-01
Tejado;4729;4729;2020-08-01
Langa de Duero;69;14806;2020-08-01
Retortillo de Soria;3088;6249;2020-08-01
Molinos de Duero;7;4031;2020-08-01
Cabrejas del Pinar;854;5064;2020-08-01
Castillejo de Robledo;0;3819;2020-08-01
Espeja de San Marcelino;3096;7918;2020-08-01
Borobia;2854;3098;2020-08-01
Villaciervos;4318;4318;2020-08-01
Quiñonería;358;569;2020-08-01
Fuentelsaz de Soria;2508;2508;2020-08-01
Salduero;0;1293;2020-08-01
Fuentecantos;1404;1404;2020-08-01
Cihuela;2119;2119;2020-08-01
Ciria;1135;1135;2020-08-01
Bayubas de Arriba;1017;1017;2020-08-01
Soliedra;1043;1043;2020-08-01
Aldealafuente;1145;2661;2020-08-01
Alcubilla de las Peñas;3953;4618;2020-08-01
Ólvega;8073;28012;2020-08-01
Ausejo de la Sierra;3080;3080;2020-08-01
Barcones;1785;1785;2020-08-01
Matamala de Almazán;0;5046;2020-08-01
Torlengua;1382;1382;2020-08-01
Nepas;1362;1362;2020-08-01
Almaluez;4559;4559;2020-08-01
Cirujales del Río;861;861;2020-08-01
Rioseco de Soria;0;2186;2020-08-01
Caltojar;1898;4220;2020-08-01
Tardelcuende;944;4071;2020-08-01
Las Aldehuelas;1758;2419;2020-08-01
Muriel de la Fuente;25;1235;2020-08-01
Carrascosa de la Sierra;1327;1647;2020-08-01
Almazul;3109;3109;2020-08-01
Aldehuela de Periáñez;494;1485;2020-08-01
Fuentes de Magaña;2092;2092;2020-08-01
Centenera de Andaluz;0;1303;2020-08-01
Villar del Ala;1829;1829;2020-08-01
Talveila;55;3677;2020-08-01
Valderrodilla;635;2091;2020-08-01
Recuerda;432;2335;2020-08-01
San Leonardo de Yagüe;0;14349;2020-08-01
Suellacabras;2156;2379;2020-08-01
Villar del Río;5082;5619;2020-08-01
Buitrago;106;1666;2020-08-01
Momblona;1145;1145;2020-08-01
Montejo de Tiermes;6690;7620;2020-08-01
Nolay;1085;1085;2020-08-01
Borjabad;706;1370;2020-08-01
Alpanseque;2261;2261;2020-08-01
Valdegeña;872;872;2020-08-01
Gormaz;0;881;2020-08-01
Reznos;732;732;2020-08-01
Cigudosa;863;863;2020-08-01
Valdemaluque;4225;6939;2020-08-01
Cabrejas del Campo;1991;1991;2020-08-01
Villar del Campo;733;733;2020-08-01
Duruelo de la Sierra;510;9048;2020-08-01
Quintana Redonda;2841;8031;2020-08-01
Maján;1534;1534;2020-08-01
Torrubia de Soria;288;896;2020-08-01
Rebollar;1241;1241;2020-08-01
La Riba de Escalote;1016;1016;2020-08-01
Berlanga de Duero;811;14755;2020-08-01
Fabero;2132;33924;2020-08-01
Turcia;3040;18431;2020-08-01
Villadangos del Páramo;757;40835;2020-08-01
Algadefe;5657;6236;2020-08-01
Santa Cristina de Valmadrigal;0;7123;2020-08-01
Villarejo de Órbigo;11545;31919;2020-08-01
Puente de Domingo Flórez;1527;14391;2020-08-01
Fuentes de Carbajal;2054;4464;2020-08-01
Castrocalbón;14542;14798;2020-08-01
Palacios del Sil;9268;17551;2020-08-01
Villademor de la Vega;8322;8322;2020-08-01
